Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Vel/Time
1	0.000000	0.000000	0	0	0
0	5.0	0.0	0	1.0	3.0	1.0
0	10.0	0.0	0	1.0	3.0	1.0
0	9.942265	0.1	0	1.0	3.0	1.0
0	4.942265000000001	0.1	0	0.792014084071148	3.0	1.0250945674815
0	0.057735	0.1	0	0.8879353231503889	3.0	1.0120991636399999
0	0.11547	0.2	0	0.8879353231503889	3.0	1.0120991636399999
0	5.11547	0.2	0	0.7179362327288477	3.0	1.022585400931
0	9.88453	0.2	0	0.8178646957763456	3.0	1.0172198652555
0	9.826795	0.3	0	0.8178646957763456	3.0	1.0172198652555
0	4.826795000000001	0.3	0	0.6950384067946659	3.0	1.0247547403969999
0	0.173205	0.3	0	0.78975358729285	3.0	1.025977703888
0	0.23094	0.4	0	0.78975358729285	3.0	1.025977703888
0	5.23094	0.4	0	0.6760279797985322	3.0	1.0262770610954999
0	9.76906	0.4	0	0.7671761358712987	3.0	1.0266630238644998
0	9.711325	0.5	0	0.7671761358712987	3.0	1.0266630238644998
0	4.711325	0.5	0	0.6665059669137632	3.0	1.024784165781
0	0.288675	0.5	0	0.7534116868181604	3.0	1.029258287645
0	0.34641	0.6	0	0.7534116868181604	3.0	1.029258287645
0	5.34641	0.6	0	0.6665059669137632	3.0	1.024784165781
0	9.65359	0.6	0	0.7429774297326796	3.0	1.029268530865
0	9.595855	0.7	0	0.7429774297326796	3.0	1.029268530865
0	4.595855	0.7	0	0.655145109373053	3.0	1.0192399396895
0	0.404145	0.7	0	0.7335843243276474	3.0	1.0304747140485
0	0.46188	0.8	0	0.7335843243276474	3.0	1.0304747140485
0	5.46188	0.8	0	0.655145109373053	3.0	1.0192399396895
0	9.53812	0.8	0	0.7335843243276474	3.0	1.0304747140485
0	9.480385	0.9	0	0.7335843243276474	3.0	1.0304747140485
0	4.480385	0.9	0	0.655145109373053	3.0	1.0192399396895
0	0.519615	0.9	0	0.721300764852492	3.0	1.030406226513
0	0.57735	1.0	0	0.721300764852492	3.0	1.030406226513
0	5.57735	1.0	0	0.655145109373053	3.0	1.0192399396895
0	9.42265	1.0	0	0.721300764852492	3.0	1.030406226513
0	9.364915	1.1	0	0.721300764852492	3.0	1.030406226513
0	4.364915	1.1	0	0.655145109373053	3.0	1.0192399396895
0	0.635085	1.1	0	0.7121854246291633	3.0	1.0309683865294998
0	0.69282	1.2	0	0.7121854246291633	3.0	1.0309683865294998
0	5.69282	1.2	0	0.655145109373053	3.0	1.0192399396895
0	9.30718	1.2	0	0.7121854246291633	3.0	1.0309683865294998
0	9.249445	1.3	0	0.7121854246291633	3.0	1.0309683865294998
0	4.249445	1.3	0	0.6434573187380139	3.0	1.0086263186064999
0	0.750555	1.3	0	0.7121854246291633	3.0	1.0309683865294998
0	0.80829	1.4	0	0.7121854246291633	3.0	1.0309683865294998
0	5.8082899999999995	1.4	0	0.6434573187380139	3.0	1.0086263186064999
0	9.19171	1.4	0	0.7025231090691932	3.0	1.0307137452085
0	9.133975	1.5	0	0.7025231090691932	3.0	1.0307137452085
0	4.1339749999999995	1.5	0	0.6434573187380139	3.0	1.0086263186064999
0	0.866025	1.5	0	0.7025231090691932	3.0	1.0307137452085
0	0.92376	1.6	0	0.7025231090691932	3.0	1.0307137452085
0	5.92376	1.6	0	0.6434573187380139	3.0	1.0086263186064999
0	9.07624	1.6	0	0.7025231090691932	3.0	1.0307137452085
0	9.018505	1.7	0	0.7025231090691932	3.0	1.0307137452085
0	4.018504999999999	1.7	0	0.6434573187380139	3.0	1.0086263186064999
0	0.981495	1.7	0	0.7025231090691932	3.0	1.0307137452085
0	1.03923	1.8	0	0.7025231090691932	3.0	1.0307137452085
0	6.03923	1.8	0	0.6434573187380139	3.0	1.0086263186064999
0	8.96077	1.8	0	0.6922565299720235	3.0	1.030685906972
0	8.903034	1.9	0	0.6922565299720235	3.0	1.030685906972
0	3.903034000000001	1.9	0	0.6434573187380139	3.0	1.0086263186064999
0	1.096966	1.9	0	0.6922565299720235	3.0	1.030685906972
0	1.154701	2.0	0	0.6922565299720235	3.0	1.030685906972
0	6.154701	2.0	0	0.6434573187380139	3.0	1.0086263186064999
0	8.845299	2.0	0	0.6922565299720235	3.0	1.030685906972
0	8.787564	2.1	0	0.6922565299720235	3.0	1.030685906972
0	3.7875639999999997	2.1	0	0.6434573187380139	3.0	1.0086263186064999
0	1.212436	2.1	0	0.6922565299720235	3.0	1.030685906972
0	1.270171	2.2	0	0.6922565299720235	3.0	1.030685906972
0	6.270171000000001	2.2	0	0.6434573187380139	3.0	1.0086263186064999
0	8.729829	2.2	0	0.6830787211735346	3.0	1.0307713419134998
0	8.672094	2.3	0	0.6830787211735346	3.0	1.0307713419134998
0	3.6720939999999986	2.3	0	0.6434573187380139	3.0	1.0086263186064999
0	1.327906	2.3	0	0.6830787211735346	3.0	1.0307713419134998
0	1.385641	2.4	0	0.6830787211735346	3.0	1.0307713419134998
0	6.385641	2.4	0	0.6333156495879472	3.0	1.006031393583
0	8.614359	2.4	0	0.6830787211735346	3.0	1.0307713419134998
0	8.556624	2.5	0	0.6830787211735346	3.0	1.0307713419134998
0	3.5566239999999993	2.5	0	0.6333156495879472	3.0	1.006031393583
0	1.443376	2.5	0	0.6830787211735346	3.0	1.0307713419134998
0	1.501111	2.6	0	0.6830787211735346	3.0	1.0307713419134998
0	6.501110999999999	2.6	0	0.6333156495879472	3.0	1.006031393583
0	8.498889	2.6	0	0.6830787211735346	3.0	1.0307713419134998
