Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Vel/Time
1	0.000000	0.000000	0	0	0
0	1.0	0.0	0	1.0	3.0	0.9999999999999999
0	2.0	0.0	0	1.0	3.0	0.9999999999999999
0	3.0	0.0	0	1.0	3.0	0.9999999999999999
0	4.0	0.0	0	1.0	3.0	0.9999999999999999
0	5.0	0.0	0	1.0	3.0	0.9999999999999999
0	6.0	0.0	0	1.0	3.0	0.9999999999999999
0	7.0	0.0	0	1.0	3.0	0.9999999999999999
0	8.0	0.0	0	1.0	3.0	0.9999999999999999
0	9.0	0.0	0	1.0	3.0	0.9999999999999999
0	10.0	0.0	0	1.0	3.0	0.9999999999999999
1	10.000000	0.100000	0	0	0.000585938
0	9.0	0.1	0	0.6969063492587906	3.8106953100897085	1.0097225943439063
0	8.0	0.1	0	0.7652435983874732	3.539079060237109	1.0076760486110412
0	7.0	0.1	0	0.8124648160980866	3.4128386439371488	1.002514114835254
0	6.0	0.1	0	0.8478898374755515	3.340130586716454	0.9976837023834101
0	5.0	0.1	0	0.8694620330765526	3.2840014398579647	0.9958932639515754
0	4.0	0.1	0	0.8857664410489201	3.243360009438938	0.994786295490962
0	3.0	0.1	0	0.8985399856550415	3.2126107265194577	0.9941037897203622
0	2.0	0.1	0	0.9088256000411725	3.1885292659645312	0.9936863767870938
0	1.0	0.1	0	0.917143728826229	3.169370252259745	0.9935252639647019
0	0.0	0.1	0	0.9324845869320609	3.141628234586008	1.0096558074246718
