t,beam_x,length,width,depth,trail,lead
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,0.15,0.3,0.3,0.025,0.2,0.1
0.0001,0.3,0.6000000000000001,0.3,0.05,0.35,0.25000000000000006
0.00015000000000000001,0.45000000000000007,0.55,0.3,0.05,0.45000000000000007,0.09999999999999998
0.0002,0.6,0.7,0.3,0.055,0.6,0.09999999999999998
0.00025,0.75,1.0,0.3,0.060000000000000005,0.75,0.25
0.00030000000000000003,0.9000000000000001,0.95,0.3,0.060000000000000005,0.8500000000000001,0.09999999999999987
0.00035,1.05,1.0999999999999999,0.3,0.060000000000000005,1.0,0.09999999999999987
0.0004,1.2,1.25,0.3,0.060000000000000005,1.15,0.10000000000000009
0.00045000000000000004,1.35,1.3499999999999999,0.3,0.060000000000000005,1.25,0.09999999999999987
0.0005,1.5,1.5,0.3,0.060000000000000005,1.4,0.10000000000000009
0.00055,1.6500000000000001,1.75,0.3,0.060000000000000005,1.5000000000000002,0.24999999999999978
0.0006000000000000001,1.8000000000000003,1.9000000000000004,0.3,0.060000000000000005,1.6500000000000004,0.25
0.0006500000000000001,1.9500000000000002,1.8500000000000003,0.3,0.060000000000000005,1.7500000000000002,0.10000000000000009
0.0007,2.1,1.9500000000000002,0.3,0.060000000000000005,1.85,0.10000000000000009
0.00075,2.25,2.0,0.3,0.060000000000000005,1.9,0.10000000000000009
0.0008,2.4,2.05,0.3,0.060000000000000005,1.95,0.10000000000000009
0.0008500000000000001,2.5500000000000003,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.0009000000000000001,2.7,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00095,2.85,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.001,3.0,2.2,0.3,0.060000000000000005,1.95,0.25
0.0010500000000000002,3.1500000000000004,2.05,0.3,0.060000000000000005,1.9500000000000004,0.09999999999999964
0.0011,3.3000000000000003,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00115,3.4499999999999997,2.2,0.3,0.060000000000000005,1.9499999999999997,0.25000000000000044
0.0012000000000000001,3.6000000000000005,2.0500000000000003,0.3,0.060000000000000005,1.9500000000000006,0.09999999999999964
0.00125,3.75,2.2,0.3,0.060000000000000005,1.95,0.25
0.0013000000000000002,3.9000000000000004,2.05,0.3,0.060000000000000005,1.9500000000000004,0.09999999999999964
0.00135,4.05,2.0500000000000003,0.3,0.060000000000000005,1.9499999999999997,0.10000000000000053
0.0014,4.2,2.2,0.3,0.060000000000000005,1.9500000000000002,0.25
0.0014500000000000001,4.3500000000000005,2.0500000000000003,0.3,0.060000000000000005,1.9500000000000006,0.09999999999999964
0.0015,4.5,2.1999999999999997,0.3,0.060000000000000005,1.9499999999999997,0.25
0.0015500000000000002,4.65,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.0016,4.8,2.0499999999999994,0.3,0.060000000000000005,1.9499999999999997,0.09999999999999964
0.00165,4.95,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.0017000000000000001,5.1000000000000005,2.0500000000000003,0.3,0.060000000000000005,1.9500000000000006,0.09999999999999964
0.00175,5.25,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.0018000000000000002,5.4,2.0500000000000003,0.3,0.060000000000000005,1.9500000000000006,0.09999999999999964
0.00185,5.55,2.0499999999999994,0.3,0.060000000000000005,1.9499999999999997,0.09999999999999964
0.0019,5.7,2.2,0.3,0.060000000000000005,1.9500000000000002,0.25
0.0019500000000000001,5.8500000000000005,2.0500000000000003,0.3,0.060000000000000005,1.9500000000000006,0.09999999999999964
0.002,6.0,2.0500000000000007,0.3,0.060000000000000005,1.9500000000000002,0.10000000000000053
0.00205,6.15,2.2,0.3,0.060000000000000005,1.9500000000000002,0.25
0.0021000000000000003,6.300000000000001,2.0500000000000007,0.3,0.060000000000000005,1.950000000000001,0.09999999999999964
0.00215,6.45,2.0500000000000007,0.3,0.060000000000000005,1.9500000000000002,0.10000000000000053
0.0022,6.6000000000000005,2.200000000000001,0.3,0.060000000000000005,1.950000000000001,0.25
0.0022500000000000003,6.750000000000001,2.0500000000000007,0.3,0.060000000000000005,1.950000000000001,0.09999999999999964
