Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Vel/Time
1	0.000000	0.000000	0	0	0
0	1.0	0.0	0	1.0	3.0	0.9999999999999999
0	2.0	0.0	0	1.0	3.0	0.9999999999999999
0	3.0	0.0	0	1.0	3.0	0.9999999999999999
0	4.0	0.0	0	1.0	3.0	0.9999999999999999
0	5.0	0.0	0	1.0	3.0	0.9999999999999999
0	6.0	0.0	0	1.0	3.0	0.9999999999999999
0	7.0	0.0	0	1.0	3.0	0.9999999999999999
0	8.0	0.0	0	1.0	3.0	0.9999999999999999
0	9.0	0.0	0	1.0	3.0	0.9999999999999999
0	10.0	0.0	0	1.0	3.0	0.9999999999999999
0	10.0	0.1	0	1.0	3.0	0.9999999999999999
0	9.0	0.1	0	0.2858149047254718	1.5956250304125488	1.541416547589972
0	8.0	0.1	0	0.46472654511614	1.941153050922184	1.131312558657048
0	7.0	0.1	0	0.5924412167445849	2.3096787801434977	1.0747115061410535
0	6.0	0.1	0	0.65226838647047	2.4203125258335567	1.0584144205883201
0	5.0	0.1	0	0.7013400305529229	2.5066876653165173	1.0434533619387787
0	4.0	0.1	0	0.7396189907871514	2.585816664201726	1.0354209816914024
0	3.0	0.1	0	0.7719425265577061	2.6491499785037136	1.0280940882410265
0	2.0	0.1	0	0.7980123300814984	2.705908684919459	1.02366412378758
0	1.0	0.1	0	0.8204569526080896	2.7513162675814353	1.0195059119641494
0	0.0	0.1	0	0.8484034922146579	2.7803009824125584	1.0339555137643768
