Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Vel/Time
1	0.000000	0.000000	0	0	0
0	1.0	0.0	0	1.0	3.0	0.9999999999999999
0	2.0	0.0	0	1.0	3.0	0.9999999999999999
0	3.0	0.0	0	1.0	3.0	0.9999999999999999
0	4.0	0.0	0	1.0	3.0	0.9999999999999999
0	5.0	0.0	0	1.0	3.0	0.9999999999999999
0	6.0	0.0	0	1.0	3.0	0.9999999999999999
0	7.0	0.0	0	1.0	3.0	0.9999999999999999
0	8.0	0.0	0	1.0	3.0	0.9999999999999999
0	9.0	0.0	0	1.0	3.0	0.9999999999999999
0	10.0	0.0	0	1.0	3.0	0.9999999999999999
0	10.0	0.1	0	1.0	3.0	0.9999999999999999
0	9.0	0.1	0	0.3545302221264788	4.939777832452259	1.2571904134114087
0	8.0	0.1	0	0.6657228564784556	3.88468570501145	1.0257265339897605
0	7.0	0.1	0	0.769603501893454	3.5572824969334933	1.005612939964871
0	6.0	0.1	0	0.810983478576131	3.416795884241677	1.0027187627791854
0	5.0	0.1	0	0.846908477398677	3.3426916918412366	0.9977810790222801
0	4.0	0.1	0	0.8687645020757767	3.2857760822304423	0.9959488482829422
0	3.0	0.1	0	0.8852197562555584	3.244702465542687	0.9948269877329818
0	2.0	0.1	0	0.8981115510384945	3.213627263611932	0.9941233554178726
0	1.0	0.1	0	0.9084718997705358	3.189347018870391	0.993698497952595
0	0.0	0.1	0	0.9257943145366369	3.1572038719115434	1.01081293727544
