idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
275,5.0,9.1,91,915.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,2.7124691009521636e-05,
276,0.0,9.1,91,920.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,1.0020351409912144e-05,
278,5.0,9.2,92,925.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,-2.7124691009521636e-05,
279,10.0,9.2,92,930.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,-1.0020351409912144e-05,
281,5.0,9.3,93,935.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,2.7124691009521636e-05,
282,0.0,9.3,93,940.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,1.0020351409912144e-05,
284,5.0,9.4,94,945.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,-2.7124691009521636e-05,
285,10.0,9.4,94,950.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,-1.0020351409912144e-05,
287,5.0,9.5,95,955.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,2.7124691009521636e-05,
288,0.0,9.5,95,960.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,1.0020351409912144e-05,
290,5.0,9.6,96,965.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,-2.7124691009521636e-05,
291,10.0,9.6,96,970.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,-1.0020351409912144e-05,
293,5.0,9.7,97,975.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,2.7124691009521636e-05,
294,0.0,9.7,97,980.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,1.0020351409912144e-05,
296,5.0,9.8,98,985.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,-2.7124691009521636e-05,
297,10.0,9.8,98,990.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,-1.0020351409912144e-05,
299,5.0,9.9,99,995.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,2.7124691009521636e-05,
300,0.0,9.9,99,1000.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,1.0020351409912144e-05,
302,5.0,10.0,100,1005.0,1.0,0.0002,0.00019425559043884273,0.00011221937179565429,-2.7124691009521636e-05,
303,10.0,10.0,100,1010.0,1.0,0.0002,0.00017921395301818846,9.45250415802002e-05,-1.0020351409912144e-05,
