t,volume,length,width,depth
0.0,0.0,0.0,0.0,0.0
5e-05,0.0017432500000000002,0.25,0.28600000000000003,0.041999999999999996
0.0001,0.0050101500000000005,0.5,0.314,0.076
0.00015000000000000001,0.00493225,0.5,0.314,0.076
0.0002,0.007230950000000001,0.7999999999999999,0.31,0.088
0.00025,0.011572550000000001,1.35,0.316,0.103
0.00030000000000000003,0.0104466,1.35,0.316,0.103
0.00035,0.0108871,1.4500000000000002,0.306,0.108
0.0004,0.01098025,1.5,0.312,0.112
0.00045000000000000004,0.01188135,1.6500000000000001,0.316,0.114
0.0005,0.0136965,1.9000000000000001,0.308,0.116
0.00055,0.01806465,2.4,0.32,0.117
0.0006000000000000001,0.01878045,2.55,0.32,0.117
0.0006500000000000001,0.0171454,2.55,0.30200000000000005,0.117
0.0007,0.01667,2.6,0.306,0.116
0.00075,0.016189250000000002,2.65,0.318,0.114
0.0008,0.017201300000000003,2.9,0.318,0.112
0.0008500000000000001,0.01856645,3.1999999999999997,0.32,0.10900000000000001
0.0009000000000000001,0.019479200000000002,3.4499999999999997,0.32,0.10900000000000001
0.00095,0.0197091,3.6999999999999997,0.314,0.108
0.001,0.020378100000000003,3.8499999999999996,0.308,0.107
0.0010500000000000002,0.017808150000000002,3.8,0.308,0.10500000000000001
0.0011,0.0171607,3.9,0.318,0.10500000000000001
0.00115,0.020507550000000003,4.4,0.32,0.106
0.0012000000000000001,0.018547150000000002,4.4,0.32,0.106
0.00125,0.02103195,4.8999999999999995,0.32,0.10500000000000001
0.0013000000000000002,0.018565850000000002,4.85,0.314,0.104
0.00135,0.017324100000000002,4.9,0.304,0.102
0.0014,0.017782850000000003,5.15,0.316,0.10500000000000001
0.0014500000000000001,0.01585535,4.0,0.316,0.10500000000000001
0.0015,0.01943575,4.5,0.322,0.10500000000000001
0.0015500000000000002,0.017556000000000002,4.5,0.32,0.10500000000000001
0.0016,0.017936450000000003,4.7,0.32,0.104
0.00165,0.0175334,3.7500000000000004,0.30200000000000005,0.103
0.0017000000000000001,0.01637865,3.8000000000000003,0.306,0.103
0.00175,0.01535295,3.8000000000000003,0.318,0.104
0.0018000000000000002,0.01574385,4.050000000000001,0.318,0.10500000000000001
0.00185,0.016815450000000003,4.35,0.32,0.10500000000000001
0.0019,0.02001185,4.800000000000001,0.32,0.10500000000000001
0.0019500000000000001,0.01790065,3.6999999999999997,0.314,0.104
0.002,0.017161600000000003,3.7999999999999994,0.3,0.102
0.00205,0.017456250000000003,3.9499999999999997,0.318,0.10500000000000001
0.0021000000000000003,0.015311600000000002,3.9,0.318,0.10500000000000001
0.00215,0.016066550000000002,4.15,0.32,0.10500000000000001
0.0022,0.0196868,4.65,0.32,0.10500000000000001
0.0022500000000000003,0.017843550000000003,3.5500000000000007,0.32,0.10500000000000001
0.0023,0.0177665,3.75,0.314,0.103
0.00235,0.018106450000000003,3.8499999999999996,0.312,0.104
0.0024000000000000002,0.0173815,4.000000000000001,0.316,0.10500000000000001
0.00245,0.015454950000000002,4.000000000000001,0.316,0.10500000000000001
0.0025,0.016459150000000002,4.250000000000001,0.322,0.10500000000000001
0.00255,0.019905850000000003,4.699999999999998,0.32,0.10500000000000001
0.0026000000000000003,0.017922650000000002,3.5999999999999988,0.32,0.104
0.00265,0.017515600000000003,3.750000000000001,0.30200000000000005,0.103
0.0027,0.017698000000000002,3.8499999999999988,0.318,0.104
0.0027500000000000003,0.015338700000000002,3.799999999999999,0.318,0.104
0.0028,0.01577015,4.050000000000001,0.318,0.10500000000000001
0.00285,0.017520200000000003,4.1,0.351,0.10500000000000001
0.0029000000000000002,0.01806895,4.000000000000001,0.34600000000000003,0.10500000000000001
0.00295,0.016885800000000003,2.9000000000000004,0.344,0.104
0.003,0.017134700000000003,2.9000000000000004,0.33999999999999997,0.102
0.00305,0.01844675,2.9000000000000004,0.33499999999999996,0.106
0.0031000000000000003,0.0165203,2.8500000000000005,0.331,0.106
0.00315,0.01596285,2.8,0.341,0.107
0.0032,0.0156595,2.75,0.347,0.108
0.0032500000000000003,0.01570235,1.6500000000000004,0.352,0.108
0.0033,0.0173571,1.9499999999999993,0.361,0.107
0.00335,0.01925725,2.3,0.366,0.106
0.0034000000000000002,0.0208511,2.5500000000000007,0.367,0.111
0.0034500000000000004,0.0221433,2.8000000000000007,0.364,0.115
0.0035,0.022639700000000002,2.9000000000000012,0.358,0.118
0.00355,0.0224729,2.950000000000001,0.359,0.12000000000000001
0.0036000000000000003,0.023200000000000002,3.1499999999999995,0.356,0.122
0.00365,0.02428055,3.3999999999999995,0.352,0.122
0.0037,0.02539575,3.6499999999999986,0.34500000000000003,0.12300000000000001
0.0037500000000000003,0.026141800000000003,3.8499999999999988,0.334,0.122
0.0038,0.026335050000000002,3.95,0.32399999999999995,0.121
0.00385,0.028021,4.25,0.326,0.12000000000000001
0.0039000000000000003,0.025344150000000003,4.25,0.323,0.118
0.00395,0.025258400000000004,4.400000000000001,0.321,0.116
0.004,0.028600450000000003,4.900000000000001,0.324,0.114
0.00405,0.026094950000000002,3.8999999999999995,0.321,0.111
0.0041,0.026157150000000004,4.1,0.312,0.108
0.00415,0.027283500000000002,4.25,0.321,0.104
0.004200000000000001,0.024481150000000004,4.25,0.321,0.1
0.00425,0.02375895,4.5,0.32,0.095
0.0043,0.026019600000000004,4.95,0.321,0.094
0.004350000000000001,0.022852550000000003,4.95,0.32,0.093
0.0044,0.0224903,5.15,0.32,0.091
0.00445,0.023969400000000002,5.449999999999999,0.319,0.091
0.0045000000000000005,0.020888800000000003,5.449999999999999,0.318,0.091
0.00455,0.01986865,5.6,0.317,0.091
0.0046,0.0216136,5.9,0.321,0.091
0.0046500000000000005,0.01868465,4.550000000000001,0.32,0.09000000000000001
0.0047,0.018494450000000003,3.5500000000000003,0.319,0.088
0.00475,0.02088475,3.9,0.32,0.086
0.0048000000000000004,0.0184379,3.85,0.319,0.083
0.00485,0.021079650000000002,4.2,0.319,0.079
0.0049,0.018906950000000002,4.1499999999999995,0.319,0.074
0.00495,0.0189367,3.1500000000000004,0.32199999999999995,0.07100000000000001
0.005,0.0200226,3.3000000000000003,0.314,0.07100000000000001
0.005050000000000001,0.017437650000000002,3.3000000000000003,0.314,0.06899999999999999
0.0051,0.016325100000000002,3.3499999999999996,0.318,0.07100000000000001
0.00515,0.019625700000000003,3.8999999999999995,0.322,0.091
0.005200000000000001,0.016960350000000003,2.6,0.321,0.091
0.00525,0.017031050000000002,2.8499999999999996,0.32,0.098
0.0053,0.0181324,2.55,0.31,0.107
0.005350000000000001,0.015369500000000001,2.5,0.31,0.107
0.0054,0.014733250000000002,2.15,0.319,0.10900000000000001
0.00545,0.01589375,1.95,0.322,0.112
0.0055000000000000005,0.0146718,1.85,0.31,0.112
0.00555,0.0143201,1.75,0.308,0.11299999999999999
0.0056,0.014079800000000002,1.75,0.305,0.11299999999999999
0.0056500000000000005,0.013350250000000001,1.65,0.303,0.112
0.0057,0.012767950000000002,1.65,0.299,0.111
0.00575,0.012031900000000002,1.6,0.29500000000000004,0.11
0.0058000000000000005,0.0112957,1.55,0.291,0.11
0.00585,0.010472400000000001,1.55,0.287,0.11
0.0059,0.009547700000000001,1.55,0.281,0.11
0.00595,0.00860615,1.55,0.27399999999999997,0.10900000000000001
0.006,0.007675100000000001,1.5,0.268,0.108
0.006050000000000001,0.006758050000000001,1.45,0.26,0.106
0.0061,0.0057754500000000005,1.45,0.25,0.103
0.00615,0.0047977,1.45,0.242,0.1
0.006200000000000001,0.0038513,1.45,0.23099999999999998,0.097
0.00625,0.0030754000000000003,1.4000000000000001,0.22,0.093
0.0063,0.0022730000000000003,1.35,0.20700000000000002,0.088
0.006350000000000001,0.00163805,1.35,0.193,0.083
0.0064,0.0011764000000000002,0.2,0.177,0.076
0.00645,0.0007786500000000001,0.15000000000000002,0.15899999999999997,0.06899999999999999
0.006500000000000001,0.00044385000000000003,0.10000000000000003,0.137,0.060000000000000005
0.00655,0.00013480000000000002,0.10000000000000003,0.11199999999999999,0.049
0.0066,0.0,0.04999999999999999,0.07700000000000001,0.034
0.0066500000000000005,0.0,0.0,0.0,0.0
0.0067,0.0,0.0,0.0,0.0
