t,volume,length,width,depth
0.0,0.0,0.0,0.0,0.0
5e-05,0.0013460000000000002,0.3,0.306,0.029
0.0001,0.0046389000000000005,0.6000000000000001,0.318,0.051
0.00015000000000000001,0.0043544000000000005,0.55,0.318,0.051
0.0002,0.005895900000000001,0.7,0.318,0.057
0.00025,0.009466500000000001,1.0,0.318,0.062
0.00030000000000000003,0.008891550000000002,0.95,0.318,0.062
0.00035,0.0101814,1.0999999999999999,0.318,0.063
0.0004,0.01135535,1.25,0.318,0.063
0.00045000000000000004,0.01234985,1.3499999999999999,0.318,0.063
0.0005,0.013144850000000001,1.5,0.318,0.063
0.00055,0.015802550000000002,1.75,0.318,0.063
0.0006000000000000001,0.016222700000000003,1.9000000000000004,0.318,0.063
0.0006500000000000001,0.014411000000000002,1.8500000000000003,0.318,0.063
0.0007,0.014486450000000001,1.9500000000000002,0.318,0.063
0.00075,0.014491950000000002,2.0,0.318,0.063
0.0008,0.014492300000000001,2.05,0.318,0.063
0.0008500000000000001,0.014492300000000001,2.05,0.318,0.063
0.0009000000000000001,0.014492300000000001,2.05,0.318,0.063
0.00095,0.014492300000000001,2.05,0.318,0.063
0.001,0.016530200000000002,2.2,0.318,0.063
0.0010500000000000002,0.014492800000000002,2.05,0.318,0.063
0.0011,0.014492800000000002,2.05,0.318,0.063
0.00115,0.016530200000000002,2.2,0.318,0.063
0.0012000000000000001,0.014492800000000002,2.0500000000000003,0.318,0.063
0.00125,0.016530200000000002,2.2,0.318,0.063
0.0013000000000000002,0.014492800000000002,2.05,0.318,0.063
0.00135,0.014492800000000002,2.0500000000000003,0.318,0.063
0.0014,0.016530200000000002,2.2,0.318,0.063
0.0014500000000000001,0.014492800000000002,2.0500000000000003,0.318,0.063
0.0015,0.016530200000000002,2.1999999999999997,0.318,0.063
0.0015500000000000002,0.014492800000000002,2.05,0.318,0.063
0.0016,0.014492800000000002,2.0499999999999994,0.318,0.063
0.00165,0.014492800000000002,2.05,0.318,0.063
0.0017000000000000001,0.014492800000000002,2.0500000000000003,0.318,0.063
0.00175,0.014492800000000002,2.05,0.318,0.063
0.0018000000000000002,0.014492800000000002,2.0500000000000003,0.318,0.063
0.00185,0.014492800000000002,2.0499999999999994,0.318,0.063
0.0019,0.016530200000000002,2.2,0.318,0.063
0.0019500000000000001,0.014492800000000002,2.0500000000000003,0.318,0.063
0.002,0.014492800000000002,2.0500000000000007,0.318,0.063
0.00205,0.016530200000000002,2.2,0.318,0.063
0.0021000000000000003,0.014492800000000002,2.0500000000000007,0.318,0.063
0.00215,0.014492800000000002,2.0500000000000007,0.318,0.063
0.0022,0.016530200000000002,2.200000000000001,0.318,0.063
0.0022500000000000003,0.014492800000000002,2.0500000000000007,0.318,0.063
0.0023,0.014492800000000002,2.05,0.318,0.063
0.00235,0.016530200000000002,2.1999999999999993,0.318,0.063
0.0024000000000000002,0.016530200000000002,2.2,0.318,0.063
0.00245,0.014492800000000002,2.05,0.318,0.063
0.0025,0.014492800000000002,2.05,0.318,0.063
0.00255,0.016530200000000002,2.2,0.318,0.063
0.0026000000000000003,0.014492800000000002,2.05,0.318,0.063
0.00265,0.014492800000000002,2.0500000000000007,0.318,0.063
0.0027,0.016530200000000002,2.1999999999999993,0.318,0.063
0.0027500000000000003,0.014492800000000002,2.05,0.318,0.063
0.0028,0.014492800000000002,2.05,0.318,0.063
0.00285,0.016530200000000002,2.200000000000001,0.318,0.063
0.0029000000000000002,0.016530200000000002,2.1999999999999993,0.318,0.063
0.00295,0.014492800000000002,2.05,0.318,0.063
0.003,0.014492800000000002,2.05,0.318,0.063
0.00305,0.016530200000000002,2.2,0.318,0.063
0.0031000000000000003,0.014492800000000002,2.0500000000000007,0.318,0.063
0.00315,0.014492800000000002,2.049999999999999,0.318,0.063
0.0032,0.014492800000000002,2.0500000000000016,0.318,0.063
0.0032500000000000003,0.014492800000000002,2.05,0.318,0.063
0.0033,0.014497050000000001,2.05,0.318,0.063
0.00335,0.014475000000000002,2.0,0.33299999999999996,0.063
0.0034000000000000002,0.013972000000000002,1.8499999999999996,0.378,0.063
0.0034500000000000004,0.0132466,1.6999999999999993,0.372,0.063
0.0035,0.012915850000000001,1.549999999999999,0.366,0.06899999999999999
0.00355,0.01329015,1.3500000000000014,0.36000000000000004,0.073
0.0036000000000000003,0.0144226,1.200000000000001,0.355,0.077
0.00365,0.015849150000000003,1.1500000000000004,0.35,0.079
0.0037,0.017409650000000002,1.3000000000000007,0.344,0.08
0.0037500000000000003,0.018721300000000003,1.450000000000001,0.33999999999999997,0.08
0.0038,0.019807900000000003,1.5500000000000007,0.33399999999999996,0.079
0.00385,0.022647700000000003,1.9000000000000004,0.329,0.078
0.0039000000000000003,0.02086065,1.9000000000000004,0.323,0.076
0.00395,0.020768400000000003,2.05,0.315,0.074
0.004,0.0222392,2.4000000000000004,0.311,0.06999999999999998
0.00405,0.019461600000000003,2.3500000000000014,0.309,0.067
0.0041,0.018136000000000003,2.500000000000001,0.306,0.062
0.00415,0.018949900000000002,2.8500000000000005,0.327,0.056
0.004200000000000001,0.015044050000000002,2.8,0.327,0.054
0.00425,0.01311375,2.950000000000001,0.325,0.057
0.0043,0.014351150000000002,3.25,0.325,0.06499999999999999
0.004350000000000001,0.012190500000000002,2.0999999999999996,0.324,0.06499999999999999
0.0044,0.012795200000000001,1.8999999999999995,0.323,0.067
0.00445,0.01598785,1.9000000000000004,0.322,0.068
0.0045000000000000005,0.014714550000000002,1.6499999999999995,0.322,0.068
0.00455,0.015690350000000002,1.6999999999999993,0.321,0.067
0.0046,0.018730350000000003,1.9000000000000012,0.319,0.066
0.0046500000000000005,0.0170479,1.9000000000000012,0.319,0.066
0.0047,0.017368500000000002,2.05,0.319,0.06499999999999999
0.00475,0.0196646,2.3,0.318,0.064
0.0048000000000000004,0.01729605,2.25,0.317,0.064
0.00485,0.01913615,2.55,0.32,0.064
0.0049,0.01653405,2.45,0.32,0.063
0.00495,0.01620715,2.4000000000000004,0.322,0.063
0.005,0.018157850000000003,2.500000000000001,0.321,0.062
0.005050000000000001,0.015735500000000003,2.3,0.321,0.062
0.0051,0.01560035,2.25,0.321,0.063
0.00515,0.017770800000000003,2.4,0.321,0.06499999999999999
0.005200000000000001,0.015541850000000001,2.1999999999999997,0.32,0.06499999999999999
0.00525,0.015590300000000001,2.1500000000000004,0.319,0.06499999999999999
0.0053,0.017879950000000002,2.3000000000000003,0.319,0.06499999999999999
0.005350000000000001,0.015836700000000002,2.1,0.319,0.06499999999999999
0.0054,0.016023000000000003,2.0999999999999996,0.32,0.064
0.00545,0.018347500000000003,2.2500000000000004,0.318,0.064
0.0055000000000000005,0.01620885,2.15,0.318,0.064
0.00555,0.016114950000000003,2.2,0.317,0.064
0.0056,0.0180949,2.4,0.318,0.063
0.0056500000000000005,0.015781,2.2499999999999996,0.318,0.063
0.0057,0.017856900000000002,2.4,0.32399999999999995,0.063
0.00575,0.017762700000000003,2.3499999999999996,0.32399999999999995,0.063
0.0058000000000000005,0.015499800000000001,2.2,0.32299999999999995,0.063
0.00585,0.01763845,2.3000000000000003,0.32299999999999995,0.063
0.0059,0.015421700000000002,2.15,0.32299999999999995,0.063
0.00595,0.015420800000000002,2.15,0.32299999999999995,0.064
0.006,0.01763485,2.3,0.324,0.064
0.006050000000000001,0.0155031,2.15,0.32299999999999995,0.064
0.0061,0.015576900000000001,2.1,0.32299999999999995,0.064
0.00615,0.017835300000000002,2.25,0.32199999999999995,0.064
0.006200000000000001,0.01577195,2.0999999999999996,0.32199999999999995,0.064
0.00625,0.015833700000000003,2.0999999999999996,0.32199999999999995,0.064
0.0063,0.017946800000000002,2.3,0.32199999999999995,0.063
0.006350000000000001,0.0157366,2.1999999999999997,0.32199999999999995,0.063
0.0064,0.01561025,2.2,0.32,0.063
0.00645,0.015241000000000001,2.2,0.318,0.063
0.006500000000000001,0.01358165,1.95,0.27199999999999996,0.063
0.00655,0.011510250000000001,1.75,0.25,0.063
0.0066,0.009319750000000002,1.6,0.23199999999999998,0.062
0.0066500000000000005,0.007284850000000001,1.45,0.215,0.061
0.0067,0.0053726500000000005,1.2,0.19799999999999998,0.060000000000000005
0.00675,0.0036660000000000004,1.05,0.179,0.057
0.0068000000000000005,0.0022243000000000002,0.85,0.159,0.052
0.00685,0.0010695000000000001,0.65,0.13699999999999998,0.046
0.006900000000000001,0.00026705,0.44999999999999996,0.109,0.038
0.0069500000000000004,0.0,0.25,0.069,0.025
0.007,0.0,0.0,0.0,0.0
0.007050000000000001,0.0,0.0,0.0,0.0
